instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.003333333,-0.363333333,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",1,1,001,female,2021-11-18_13h43.23.046,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.077777778,-0.378888889,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",1,1,001,female,2021-11-18_13h43.23.046,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,1,001,female,2021-11-18_13h43.23.046,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.552,,,,,,,,1.552,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,1,1,001,female,2021-11-18_13h43.23.046,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.013,,,,,,,,1.013,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,1,1,001,female,2021-11-18_13h43.23.046,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.918,,,,,,,,0.918,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,1,1,001,female,2021-11-18_13h43.23.046,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.965,,,,,,,,0.965,1,0,3,3,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,1,1,001,female,2021-11-18_13h43.23.046,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.73,,,,,,,,1.73,1,0,4,4,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,1,1,001,female,2021-11-18_13h43.23.046,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.679,,,,,,,,0.679,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,1,1,001,female,2021-11-18_13h43.23.046,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.653,,,,,,,,0.653,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,1,1,001,female,2021-11-18_13h43.23.046,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.85,,,,,,,,0.85,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
