instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.059628906,-0.35719401,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",a,1,001,male,2020-08-02_00h24.15.818,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.099151476,-0.376174045,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",a,1,001,male,2020-08-02_00h24.15.818,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,a,1,001,male,2020-08-02_00h24.15.818,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.922245,,,,,,,,1.922245,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,a,1,001,male,2020-08-02_00h24.15.818,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.09845,,,,,,,,1.09845,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,a,1,001,male,2020-08-02_00h24.15.818,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.85438,,,,,,,,0.85438,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,a,1,001,male,2020-08-02_00h24.15.818,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.932,,,,,,,,0.932,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,a,1,001,male,2020-08-02_00h24.15.818,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.727385,,,,,,,,0.727385,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,a,1,001,male,2020-08-02_00h24.15.818,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.798235,,,,,,,,0.798235,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,a,1,001,male,2020-08-02_00h24.15.818,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.946845,,,,,,,,0.946845,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,a,1,001,male,2020-08-02_00h24.15.818,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.718055,,,,,,,,0.718055,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,a,1,001,male,2020-08-02_00h24.15.818,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.811225,,,,,,,,0.811225,1,0,8,8,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,a,1,001,male,2020-08-02_00h24.15.818,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.10971,,,,,,,,1.10971,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,a,1,001,male,2020-08-02_00h24.15.818,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,a,1,001,male,2020-08-02_00h24.15.818,openIAT,2020.1.0rc3,MacIntel,60,l,0,1.91495,,,,,,,,1.91495,0,0,0,0,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,a,1,001,male,2020-08-02_00h24.15.818,openIAT,2020.1.0rc3,MacIntel,60,a,0,1.06702,,,,,,,,1.06702,0,0,1,1,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,a,1,001,male,2020-08-02_00h24.15.818,openIAT,2020.1.0rc3,MacIntel,60,a,1,3.55364,,,,,,,,3.55364,1,0,2,2,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
