instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.148392537,-0.335327352,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",1,1,001,male,2021-01-20_14h30.30.561,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.167716675,-0.300206977,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",1,1,001,male,2021-01-20_14h30.30.561,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,1,001,male,2021-01-20_14h30.30.561,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.302885,,,,,,,,1.302885,1,0,0,0,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,1,1,001,male,2021-01-20_14h30.30.561,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.629595,,,,,,,,0.629595,0,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,1,1,001,male,2021-01-20_14h30.30.561,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.880485,,,,,,,,0.880485,1,0,2,2,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,1,1,001,male,2021-01-20_14h30.30.561,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.832745,,,,,,,,0.832745,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,1,1,001,male,2021-01-20_14h30.30.561,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.56525,,,,,,,,0.56525,1,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,1,1,001,male,2021-01-20_14h30.30.561,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.58206,,,,,,,,0.58206,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,1,1,001,male,2021-01-20_14h30.30.561,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.662785,,,,,,,,0.662785,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,1,1,001,male,2021-01-20_14h30.30.561,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.89592,,,,,,,,0.89592,1,0,7,7,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,1,1,001,male,2021-01-20_14h30.30.561,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.58397,,,,,,,,0.58397,1,0,8,8,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,1,1,001,male,2021-01-20_14h30.30.561,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.566745,,,,,,,,0.566745,0,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,1,1,001,male,2021-01-20_14h30.30.561,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
