instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.038888889,-0.394444444,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",2,2,001,male,2022-12-07_13h13.51.624,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04537037,-0.393518519,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",2,2,001,male,2022-12-07_13h13.51.624,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,2,001,male,2022-12-07_13h13.51.624,openIAT,2020.1.0rc3,Win32,60,l,1,1.8819,,,,,,,,1.8819,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,2,2,001,male,2022-12-07_13h13.51.624,openIAT,2020.1.0rc3,Win32,60,l,1,1.0869,,,,,,,,1.0869,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,2,2,001,male,2022-12-07_13h13.51.624,openIAT,2020.1.0rc3,Win32,60,l,1,2.072,,,,,,,,2.072,1,0,2,2,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,2,2,001,male,2022-12-07_13h13.51.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.7547,,,,,,,,0.7547,1,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,2,2,001,male,2022-12-07_13h13.51.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.7523,,,,,,,,0.7523,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,2,2,001,male,2022-12-07_13h13.51.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.7859,,,,,,,,0.7859,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,2,2,001,male,2022-12-07_13h13.51.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.6689,,,,,,,,0.6689,1,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,2,2,001,male,2022-12-07_13h13.51.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.7192,,,,,,,,0.7192,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,2,2,001,male,2022-12-07_13h13.51.624,openIAT,2020.1.0rc3,Win32,60,a,1,0.6355,,,,,,,,0.6355,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,2,2,001,male,2022-12-07_13h13.51.624,openIAT,2020.1.0rc3,Win32,60,l,1,0.769,,,,,,,,0.769,1,0,9,9,1,1,stimuli/blank.png,Bad,l,,,,,,,,
