instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.013190104,-0.432122396,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",,2,001,male,2022-11-30_20h03.01.419,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002261285,-0.415034722,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",,2,001,male,2022-11-30_20h03.01.419,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-11-30_20h03.01.419,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.0588,,,,,,,,1.0588,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-11-30_20h03.01.419,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8883,,,,,,,,0.8883,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-11-30_20h03.01.419,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7284,,,,,,,,0.7284,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-11-30_20h03.01.419,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8965,,,,,,,,0.8965,1,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-11-30_20h03.01.419,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7149,,,,,,,,0.7149,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-11-30_20h03.01.419,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.6628,,,,,,,,0.6628,0,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-11-30_20h03.01.419,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.4041,,,,,,,,1.4041,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-11-30_20h03.01.419,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.0462,,,,,,,,1.0462,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-11-30_20h03.01.419,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7642,,,,,,,,0.7642,1,0,8,8,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-11-30_20h03.01.419,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7294,,,,,,,,0.7294,1,0,9,9,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-11-30_20h03.01.419,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,,2,001,male,2022-11-30_20h03.01.419,openIAT,2020.1.0rc3,MacIntel,60,a,1,2.0147,,,,,,,,2.0147,1,0,0,0,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-11-30_20h03.01.419,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.0207,,,,,,,,1.0207,1,0,1,1,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,,2,001,male,2022-11-30_20h03.01.419,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.0296,,,,,,,,1.0296,1,0,2,2,2,1,stimuli/black_2.jpg,,a,,,,,,,,
