instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.096296296,-0.391666667,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Vladimir,2,001,male,2023-03-01_13h49.30.146,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.156481481,-0.385185185,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Vladimir,2,001,male,2023-03-01_13h49.30.146,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Vladimir,2,001,male,2023-03-01_13h49.30.146,openIAT,2020.1.0rc3,Win32,60,a,0,1.6332,,,,,,,,1.6332,0,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Vladimir,2,001,male,2023-03-01_13h49.30.146,openIAT,2020.1.0rc3,Win32,60,a,1,1.9191,,,,,,,,1.9191,1,0,1,1,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Vladimir,2,001,male,2023-03-01_13h49.30.146,openIAT,2020.1.0rc3,Win32,60,a,1,1.0904,,,,,,,,1.0904,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Vladimir,2,001,male,2023-03-01_13h49.30.146,openIAT,2020.1.0rc3,Win32,60,l,1,1.2316,,,,,,,,1.2316,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Vladimir,2,001,male,2023-03-01_13h49.30.146,openIAT,2020.1.0rc3,Win32,60,a,1,0.7163,,,,,,,,0.7163,1,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Vladimir,2,001,male,2023-03-01_13h49.30.146,openIAT,2020.1.0rc3,Win32,60,l,1,0.838,,,,,,,,0.838,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Vladimir,2,001,male,2023-03-01_13h49.30.146,openIAT,2020.1.0rc3,Win32,60,a,0,1.6144,,,,,,,,1.6144,0,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Vladimir,2,001,male,2023-03-01_13h49.30.146,openIAT,2020.1.0rc3,Win32,60,a,1,0.9683,,,,,,,,0.9683,1,0,7,7,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
