instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.021501736,-0.408315972,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",1605,2,001,female,2020-09-28_20h56.47.293,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.058880208,-0.395269097,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",1605,2,001,female,2020-09-28_20h56.47.293,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1605,2,001,female,2020-09-28_20h56.47.293,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.899535,,,,,,,,1.899535,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,1605,2,001,female,2020-09-28_20h56.47.293,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.657025,,,,,,,,1.657025,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,1605,2,001,female,2020-09-28_20h56.47.293,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.120785,,,,,,,,1.120785,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,1605,2,001,female,2020-09-28_20h56.47.293,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.818915,,,,,,,,0.818915,1,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,1605,2,001,female,2020-09-28_20h56.47.293,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.90288,,,,,,,,0.90288,1,0,4,4,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,1605,2,001,female,2020-09-28_20h56.47.293,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.20466,,,,,,,,1.20466,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,1605,2,001,female,2020-09-28_20h56.47.293,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.634765,,,,,,,,0.634765,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,1605,2,001,female,2020-09-28_20h56.47.293,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.783445,,,,,,,,0.783445,0,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,1605,2,001,female,2020-09-28_20h56.47.293,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8876,,,,,,,,0.8876,1,0,8,8,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,1605,2,001,female,2020-09-28_20h56.47.293,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.84114,,,,,,,,0.84114,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
